state	votetrump	age	female	collegeed	famincr	ideo	pid7na	bornagain	religimp	churchatd	prayerfreq	angryracism	whiteadv	fearraces	racerare
Pennsylvania	1	47	0	0	9	4	Ind. Lean R	0	1	1	2	NA/ND	Strongly Disagree	Disagree	NA/ND
Indiana	0	49	0	0	6	2	Strong D	1	3	4	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Indiana	1	64	0	0	6	4	Ind. Lean R	0	4	3	6	Disagree	Disagree	Disagree	Agree
Iowa	1	64	0	0	NA	3	Strong R	0	3	2	2	Strongly Disagree	Strongly Disagree	Strongly Disagree	Strongly Agree
Michigan	1	59	0	1	NA	3	Indep.	1	4	4	7	Disagree	Strongly Disagree	Strongly Disagree	Strongly Agree
Michigan	1	52	0	1	NA	3	Indep.	0	2	1	1	Strongly Agree	NA/ND	NA/ND	Disagree
Minnesota	1	55	1	0	6	4	Strong R	0	3	4	5	Strongly Agree	NA/ND	Agree	Disagree
Pennsylvania	1	62	1	0	2	3	Indep.	0	1	1	1	Agree	Agree	NA/ND	Agree
Iowa	NA	62	1	0	3	3	Indep.	0	3	1	5	Strongly Agree	Agree	Disagree	Strongly Disagree
Ohio	1	60	1	0	4	4	Not Strong R	1	3	2	5	Strongly Agree	NA/ND	Disagree	Agree
Illinois	1	70	0	0	NA	4	Indep.	1	4	5	7	NA/ND	Strongly Disagree	Strongly Disagree	Disagree
Ohio	1	66	0	1	8	4	Ind. Lean R	1	3	5	6	Agree	Disagree	Strongly Disagree	NA/ND
Minnesota	0	74	0	1	7	4	Strong R	0	3	3	2	NA/ND	NA/ND	Agree	NA/ND
Ohio	1	90	0	1	4	4	Strong R	0	4	5	7	Agree	Agree	Agree	Disagree
Ohio	0	72	0	1	7	2	Strong D	0	4	5	7	Strongly Agree	Strongly Agree	Disagree	Disagree
Illinois	0	68	0	1	7	3	Ind. Lean D	0	3	3	7	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Ohio	1	51	0	1	5	4	Strong R	1	2	3	2	NA/ND	NA/ND	NA/ND	Agree
Illinois	0	59	0	1	10	1	Strong D	0	3	2	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Michigan	0	64	0	1	NA	3	Ind. Lean D	0	1	2	2	Agree	Agree	Disagree	NA/ND
Pennsylvania	0	33	1	1	10	1	Indep.	0	1	3	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Pennsylvania	0	53	1	0	4	2	Strong D	0	1	2	1	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	0	36	1	1	9	1	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Iowa	0	33	1	1	9	3	Not Strong D	0	1	1	1	Strongly Agree	Agree	Disagree	Strongly Disagree
Michigan	1	62	0	0	6	3	Not Strong D	1	4	5	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	NA	41	1	0	6	3	Indep.	0	3	2	2	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Ohio	0	42	0	1	12	1	Strong D	0	1	2	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Indiana	NA	28	1	0	3	NA	Not Strong R	1	3	2	2	Strongly Agree	NA/ND	NA/ND	NA/ND
Illinois	0	29	1	0	8	3	Ind. Lean D	0	3	2	3	Strongly Agree	Strongly Agree	Disagree	Disagree
Illinois	1	63	1	0	NA	4	Ind. Lean R	0	1	1	7	NA/ND	Strongly Disagree	NA/ND	NA/ND
Wisconsin	0	60	1	1	5	5	Strong R	0	4	3	6	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Wisconsin	0	46	1	1	10	1	Strong D	0	4	5	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Michigan	0	67	1	0	6	2	Ind. Lean D	0	3	2	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	65	1	1	6	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	0	85	1	1	8	1	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	46	1	1	8	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	49	1	1	10	1	Strong D	0	3	5	6	Agree	Strongly Agree	Disagree	Disagree
Pennsylvania	0	61	1	1	NA	1	Strong D	0	3	4	7	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Illinois	1	64	1	1	6	3	Ind. Lean R	0	4	3	6	NA/ND	NA/ND	Strongly Disagree	NA/ND
Michigan	0	55	1	1	5	3	Not Strong D	0	3	2	6	Strongly Agree	Agree	NA/ND	Disagree
Wisconsin	0	41	1	1	6	3	Strong D	1	4	5	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Ohio	1	76	1	0	NA	5	Strong R	1	4	6	6	Strongly Agree	Disagree	Strongly Disagree	Disagree
Michigan	1	82	1	0	6	3	Strong R	0	4	6	7	Agree	NA/ND	Agree	Disagree
Iowa	1	69	1	0	2	5	Strong R	1	4	5	7	Agree	Strongly Disagree	NA/ND	Strongly Disagree
Pennsylvania	NA	70	1	0	1	NA	Indep.	0	3	1	7	Strongly Agree	Strongly Disagree	Disagree	Strongly Disagree
Ohio	NA	45	0	0	4	3	Strong D	1	3	5	5	Agree	Agree	NA/ND	NA/ND
Minnesota	1	54	0	0	10	3	Not Strong R	0	2	2	1	Strongly Agree	Strongly Disagree	NA/ND	Agree
Pennsylvania	0	58	0	1	9	2	Strong D	0	4	4	5	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Iowa	0	56	0	1	9	1	Strong D	0	1	5	5	Strongly Agree	Agree	Disagree	Strongly Disagree
Ohio	1	62	0	1	10	4	Strong R	0	2	2	5	NA/ND	Strongly Disagree	Agree	Agree
Indiana	0	47	0	1	8	2	Indep.	1	2	3	5	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Pennsylvania	1	58	0	1	12	5	Strong R	1	4	5	7	Agree	NA/ND	Disagree	Agree
Illinois	NA	60	1	0	6	3	Not Strong D	1	4	5	6	Strongly Agree	Strongly Agree	Strongly Disagree	NA/ND
Illinois	NA	50	1	0	4	4	Not Strong R	0	3	2	6	Agree	Strongly Disagree	NA/ND	Strongly Disagree
Pennsylvania	NA	54	1	0	1	2	Indep.	1	3	4	6	Strongly Agree	Strongly Disagree	NA/ND	NA/ND
Ohio	NA	58	1	0	6	3	Indep.	0	3	2	5	NA	NA	NA	NA
Pennsylvania	NA	50	1	0	4	5	Not Strong D	0	4	1	7	NA/ND	Disagree	Disagree	NA/ND
Ohio	0	67	0	0	6	3	Ind. Lean D	0	2	2	1	NA/ND	Agree	Strongly Disagree	Agree
Ohio	0	71	0	0	4	3	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Disagree
Michigan	1	68	0	0	10	NA	Indep.	0	3	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	1	78	0	0	11	4	Ind. Lean R	1	3	4	6	NA/ND	Disagree	Agree	Disagree
Illinois	0	72	0	1	11	2	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	1	60	0	1	NA	3	Indep.	0	2	2	2	Disagree	Agree	Disagree	Agree
Ohio	1	25	1	0	6	3	Not Strong D	0	3	2	2	Agree	Agree	Agree	NA/ND
Pennsylvania	0	59	0	1	11	2	Strong D	0	1	1	1	Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	68	0	1	8	3	Ind. Lean R	0	4	6	7	Agree	NA/ND	Agree	Agree
Wisconsin	0	69	1	1	7	2	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	0	39	1	1	11	2	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Pennsylvania	1	33	1	0	5	1	Indep.	0	3	1	1	NA/ND	NA/ND	Disagree	NA/ND
Michigan	1	64	1	0	2	3	Not Strong R	0	2	1	1	NA/ND	Strongly Disagree	Agree	Strongly Agree
Minnesota	0	64	1	0	3	2	Strong D	0	1	2	7	Agree	Agree	NA/ND	Strongly Disagree
Wisconsin	1	44	1	0	3	NA	NA	0	3	3	6	Strongly Agree	Strongly Disagree	Agree	Agree
Minnesota	1	35	1	1	10	5	Not Strong R	1	4	5	7	Strongly Agree	Strongly Disagree	NA/ND	Agree
Ohio	0	40	1	1	2	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Ohio	0	23	1	1	11	1	Ind. Lean D	0	1	1	1	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Ohio	0	47	1	0	3	3	Not Strong D	0	1	1	1	Agree	NA/ND	Strongly Disagree	Disagree
Pennsylvania	0	62	1	0	10	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Indiana	0	50	1	0	2	4	Not Strong R	0	2	2	7	Strongly Agree	Agree	NA/ND	Disagree
Michigan	1	63	1	1	NA	3	Strong R	0	3	2	5	Agree	Disagree	NA/ND	NA/ND
Pennsylvania	NA	49	0	0	8	3	Ind. Lean R	0	1	1	1	NA	NA	NA	NA
Illinois	0	79	1	0	NA	3	Strong D	0	4	3	2	Strongly Agree	Agree	NA/ND	Disagree
Illinois	0	67	1	0	8	2	Not Strong D	0	1	1	2	Strongly Agree	Agree	NA/ND	Disagree
Michigan	0	69	1	1	8	3	Indep.	0	4	5	7	Strongly Agree	Agree	Disagree	Disagree
Illinois	1	67	1	1	NA	4	Indep.	1	4	6	7	NA/ND	Disagree	Strongly Disagree	Disagree
Pennsylvania	0	85	1	1	3	2	Strong D	0	2	3	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	80	1	1	NA	2	Strong D	0	3	3	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	70	1	1	10	3	Not Strong D	0	3	3	2	NA/ND	Strongly Disagree	Strongly Disagree	Strongly Agree
Pennsylvania	1	52	1	1	8	5	Strong R	0	3	2	7	NA/ND	Strongly Disagree	Strongly Disagree	Agree
Iowa	0	47	1	1	10	4	Ind. Lean R	0	2	3	5	NA/ND	Strongly Disagree	Agree	Disagree
Ohio	0	63	1	1	9	3	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	28	1	1	4	2	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Ohio	1	44	1	1	6	3	NA	0	2	2	5	Strongly Agree	Agree	NA/ND	NA/ND
Pennsylvania	0	33	0	1	11	2	Strong D	0	2	3	1	Strongly Agree	Strongly Agree	Agree	Strongly Disagree
Michigan	0	65	1	0	4	3	Strong D	0	1	1	5	Strongly Agree	NA/ND	Strongly Disagree	Agree
Illinois	1	65	1	0	5	5	Strong R	0	4	6	7	Agree	Strongly Disagree	Disagree	Strongly Disagree
Michigan	NA	50	0	0	1	2	Strong D	1	4	2	5	NA	NA	NA	NA
Illinois	1	55	0	0	8	4	Strong R	0	1	2	1	NA/ND	NA/ND	NA/ND	Disagree
Pennsylvania	0	50	0	0	1	3	Not Strong R	0	4	5	5	Strongly Agree	Agree	NA/ND	Agree
Pennsylvania	1	54	0	0	9	2	Not Strong R	0	1	3	7	Agree	NA/ND	Strongly Disagree	Agree
Wisconsin	NA	27	0	1	3	3	Not Strong D	0	1	2	1	NA	NA	NA	NA
Pennsylvania	1	53	0	1	10	5	Strong R	1	4	5	7	NA/ND	Strongly Disagree	Strongly Disagree	Strongly Agree
Illinois	0	56	0	1	9	3	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	NA/ND	Disagree
Minnesota	1	65	0	0	5	4	Strong R	0	3	2	2	Strongly Agree	Agree	NA/ND	Disagree
Indiana	0	66	0	0	5	2	Strong D	0	1	1	NA	NA/ND	NA/ND	NA/ND	NA/ND
Ohio	0	72	0	1	6	3	Not Strong D	0	2	2	5	Agree	Strongly Disagree	NA/ND	Agree
Illinois	1	85	0	1	NA	4	Ind. Lean R	1	4	5	7	Strongly Agree	NA/ND	Agree	NA/ND
Pennsylvania	1	62	0	1	8	4	Strong R	0	1	1	1	Agree	Disagree	Strongly Disagree	NA/ND
Pennsylvania	1	52	0	1	12	4	Strong R	0	3	3	4	NA/ND	NA/ND	Disagree	NA/ND
Michigan	1	58	0	1	11	4	Strong R	0	3	2	5	Agree	Strongly Disagree	NA/ND	Strongly Agree
Ohio	NA	46	0	1	9	1	Strong D	0	3	5	6	NA	NA	NA	NA
Michigan	0	34	1	1	6	2	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	33	1	0	6	NA	Not Strong R	0	3	3	7	NA/ND	NA/ND	Agree	NA/ND
Pennsylvania	1	55	0	0	2	4	Not Strong R	1	2	1	NA	Agree	Disagree	Disagree	Strongly Agree
Iowa	0	54	0	1	10	2	Not Strong D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Minnesota	1	63	1	0	8	3	Not Strong R	0	3	3	2	Agree	NA/ND	Disagree	Disagree
Illinois	1	42	1	0	10	5	Strong R	0	3	2	1	Strongly Disagree	Strongly Disagree	NA/ND	Strongly Disagree
Michigan	0	37	1	1	NA	3	Ind. Lean D	0	2	3	5	Strongly Agree	Agree	Disagree	Disagree
Michigan	0	69	0	0	10	2	Strong D	0	2	1	1	Strongly Agree	Strongly Agree	NA/ND	NA/ND
Ohio	NA	69	0	0	NA	5	Indep.	0	1	2	2	NA/ND	Strongly Disagree	Strongly Agree	Strongly Disagree
Illinois	0	48	1	0	5	2	Strong D	0	1	1	1	Agree	Strongly Disagree	NA/ND	Disagree
Ohio	0	54	1	0	NA	4	Ind. Lean D	0	3	4	7	Agree	NA/ND	Agree	Disagree
Ohio	1	56	1	0	5	4	Not Strong R	0	2	1	2	Strongly Agree	NA/ND	Disagree	Strongly Disagree
Ohio	0	64	1	1	9	3	Ind. Lean D	0	2	2	3	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	1	64	1	1	11	4	Not Strong R	0	3	4	7	Strongly Agree	NA/ND	Disagree	Disagree
Ohio	1	60	0	0	2	5	Strong R	1	4	6	7	Strongly Agree	Strongly Disagree	NA/ND	Strongly Disagree
Wisconsin	1	57	0	0	3	4	Not Strong R	1	2	1	3	Strongly Agree	Strongly Disagree	NA/ND	Strongly Agree
Michigan	1	68	1	0	6	3	Not Strong D	0	1	1	2	Agree	NA/ND	Disagree	Agree
Ohio	1	75	1	1	8	4	Ind. Lean R	1	4	5	7	Agree	Disagree	Strongly Disagree	Disagree
Illinois	0	65	1	1	9	1	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Michigan	0	69	1	1	NA	3	Ind. Lean D	0	3	2	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	0	77	1	1	3	2	Strong D	0	3	4	5	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Indiana	0	69	1	1	2	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	34	0	0	2	3	Not Strong R	0	2	2	3	Strongly Agree	Agree	Strongly Disagree	Disagree
Illinois	0	49	1	1	7	2	Ind. Lean D	0	2	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Michigan	0	47	1	1	10	3	Ind. Lean D	0	3	3	3	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	NA	32	1	1	7	3	Ind. Lean D	0	3	3	5	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Ohio	0	39	0	1	1	4	Not Strong R	0	1	1	2	Agree	Agree	Strongly Disagree	Disagree
Ohio	1	72	1	0	NA	3	Not Strong R	0	3	1	5	Agree	Disagree	NA/ND	Disagree
Ohio	1	77	1	0	2	4	Not Strong R	1	4	2	5	Agree	Strongly Disagree	NA/ND	Disagree
Illinois	1	52	0	0	5	3	Strong R	1	4	2	7	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Illinois	0	59	0	0	7	3	Ind. Lean D	0	4	5	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Iowa	0	62	0	0	3	2	Not Strong D	0	2	1	1	Agree	Strongly Agree	Agree	Disagree
Illinois	1	48	0	1	10	4	Not Strong R	0	4	3	6	Strongly Agree	Agree	Strongly Disagree	Agree
Ohio	0	56	0	1	9	3	Strong D	1	4	5	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	59	1	0	7	2	Not Strong D	0	1	1	1	Agree	Agree	Strongly Disagree	Strongly Disagree
Illinois	0	59	1	0	2	3	Not Strong D	1	3	1	7	Agree	Agree	Agree	Disagree
Indiana	1	76	0	0	6	4	Indep.	1	4	3	7	NA/ND	Strongly Disagree	Strongly Agree	Agree
Iowa	0	65	0	0	6	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	1	91	0	1	5	3	Strong R	0	1	1	1	Strongly Agree	Disagree	Agree	Strongly Disagree
Michigan	1	54	0	1	6	4	Indep.	0	1	1	3	Strongly Agree	NA/ND	NA/ND	Disagree
Illinois	1	53	0	1	12	3	Indep.	0	4	4	7	Disagree	Strongly Disagree	Disagree	Strongly Agree
Pennsylvania	1	57	0	1	8	3	Indep.	0	2	1	1	Agree	Disagree	NA/ND	Disagree
Pennsylvania	1	48	0	1	NA	4	Strong R	1	4	4	5	Agree	Disagree	Strongly Disagree	Agree
Wisconsin	0	41	1	1	9	2	Not Strong D	0	4	4	6	Agree	Disagree	Disagree	Agree
Pennsylvania	0	55	1	0	8	2	Strong D	0	4	5	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Michigan	NA	41	1	0	7	4	Not Strong R	0	2	1	1	Strongly Agree	Strongly Disagree	Strongly Disagree	Disagree
Michigan	1	31	1	0	5	5	Strong R	1	4	6	7	Agree	NA/ND	Agree	Disagree
Pennsylvania	0	35	1	0	3	2	Not Strong D	0	2	1	2	Strongly Agree	NA/ND	Strongly Disagree	Strongly Disagree
Wisconsin	1	62	1	0	3	4	Ind. Lean R	0	4	4	7	Strongly Agree	Strongly Disagree	Agree	Strongly Disagree
Iowa	1	58	1	0	5	4	Strong R	1	4	5	5	Strongly Agree	NA/ND	Strongly Disagree	Strongly Disagree
Wisconsin	0	48	1	1	3	2	Ind. Lean D	0	1	1	1	Strongly Agree	Agree	Disagree	Strongly Disagree
Ohio	0	52	1	1	4	1	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Wisconsin	1	48	0	0	4	4	Strong R	0	4	1	6	Disagree	Strongly Disagree	Disagree	Agree
Wisconsin	NA	61	0	0	4	3	Not Strong R	0	2	1	3	Strongly Agree	Agree	Disagree	Disagree
Wisconsin	1	82	1	1	5	5	Strong R	1	4	6	7	NA/ND	NA/ND	NA/ND	NA/ND
Ohio	0	81	1	1	3	4	Not Strong R	0	1	1	1	Strongly Agree	NA/ND	Strongly Disagree	NA/ND
Ohio	1	69	1	1	NA	4	Strong R	0	4	5	7	Agree	Disagree	Agree	Disagree
Minnesota	NA	62	1	1	5	3	Indep.	0	4	2	5	Strongly Agree	Agree	NA/ND	Disagree
Pennsylvania	NA	63	1	1	2	3	Not Strong D	0	3	5	6	Strongly Agree	Agree	Disagree	Disagree
Pennsylvania	0	51	1	1	NA	2	Not Strong D	0	4	2	2	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Illinois	NA	66	1	0	5	3	Indep.	0	2	2	NA	NA	NA	NA	NA
Michigan	1	70	1	0	3	2	Not Strong D	1	2	2	6	Agree	Agree	Strongly Disagree	Agree
Indiana	1	58	0	0	9	4	Strong R	1	3	1	6	Agree	Disagree	Disagree	Agree
Ohio	1	59	0	0	5	5	Not Strong D	0	2	1	1	Agree	Disagree	Strongly Disagree	Agree
Michigan	1	64	0	1	NA	5	Strong R	0	3	3	6	NA/ND	Disagree	Agree	Strongly Agree
Illinois	NA	52	1	0	2	2	NA	0	3	NA	6	NA/ND	NA/ND	Agree	Agree
Pennsylvania	1	47	1	0	6	NA	NA	1	4	3	3	NA/ND	NA/ND	NA/ND	NA/ND
Pennsylvania	1	65	0	0	NA	4	Not Strong R	0	2	2	2	Strongly Disagree	Strongly Disagree	NA/ND	Agree
Illinois	0	65	0	0	NA	3	Indep.	1	4	5	7	NA/ND	Strongly Disagree	Agree	Disagree
Ohio	0	65	0	0	9	3	Not Strong R	1	4	5	7	Strongly Agree	Agree	Disagree	Strongly Disagree
Iowa	NA	80	0	0	2	3	Strong R	1	2	3	6	Agree	Disagree	NA/ND	NA/ND
Michigan	0	75	0	0	8	3	Indep.	0	3	1	NA	NA/ND	Agree	NA/ND	Disagree
Pennsylvania	1	57	0	1	9	3	Indep.	0	1	1	1	NA/ND	Disagree	Strongly Disagree	Agree
Pennsylvania	0	58	0	1	6	3	Not Strong D	0	2	3	1	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Iowa	1	55	0	1	11	4	Ind. Lean R	0	2	2	3	Agree	Disagree	NA/ND	Agree
Ohio	1	56	0	1	NA	4	Indep.	0	4	4	5	Agree	Agree	Agree	Agree
Michigan	1	50	0	1	6	5	Strong R	0	1	2	2	NA/ND	Strongly Disagree	Strongly Disagree	Strongly Agree
Pennsylvania	1	55	0	0	6	4	Not Strong R	1	4	1	7	Strongly Disagree	Strongly Disagree	Strongly Disagree	Disagree
Michigan	NA	29	1	0	5	3	Not Strong D	0	3	2	5	Agree	Strongly Agree	Agree	Strongly Disagree
Wisconsin	0	36	0	1	9	1	Not Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Illinois	0	50	0	1	10	1	Strong D	0	1	2	1	Agree	Strongly Agree	Disagree	Disagree
Minnesota	0	34	1	0	1	3	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Indiana	1	52	1	1	9	4	Strong R	1	4	5	6	Strongly Agree	Agree	Disagree	Agree
Illinois	0	39	1	1	9	1	Strong D	0	4	3	5	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Indiana	0	35	0	1	11	3	Ind. Lean D	0	1	1	1	Strongly Agree	Agree	Strongly Disagree	Disagree
Iowa	0	18	1	0	9	3	Not Strong D	0	3	5	6	Agree	Strongly Agree	Disagree	Disagree
Pennsylvania	NA	39	1	0	4	4	Not Strong R	0	3	2	5	Strongly Agree	Disagree	Strongly Disagree	Strongly Disagree
Pennsylvania	NA	40	1	1	NA	4	Not Strong R	0	3	3	5	NA	NA	NA	NA
Ohio	1	37	1	1	8	5	Strong R	1	4	5	7	Strongly Agree	Disagree	Disagree	Agree
Illinois	0	67	0	0	8	3	Ind. Lean D	0	4	1	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	0	58	1	0	3	2	Strong D	1	4	2	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Pennsylvania	1	45	1	0	5	NA	Ind. Lean R	0	1	2	2	NA/ND	Strongly Disagree	NA/ND	Disagree
Michigan	0	64	1	0	3	5	Not Strong D	0	2	2	2	Strongly Agree	NA/ND	Agree	NA/ND
Pennsylvania	1	52	1	0	10	4	Not Strong R	1	4	6	7	NA/ND	Disagree	Disagree	Agree
Wisconsin	0	64	1	0	6	2	Strong D	0	4	4	7	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Minnesota	NA	61	1	0	8	4	Indep.	0	3	3	7	NA/ND	Disagree	NA/ND	Disagree
Illinois	0	50	1	1	8	1	Strong D	0	1	1	1	Agree	Strongly Agree	NA/ND	Strongly Disagree
Pennsylvania	0	51	1	1	12	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	62	0	0	3	2	Not Strong D	0	3	3	5	NA/ND	Disagree	NA/ND	Agree
Wisconsin	1	56	0	0	3	3	Strong R	0	4	1	7	Agree	Disagree	Disagree	Strongly Disagree
Minnesota	1	71	1	0	7	5	Strong R	0	4	6	7	Strongly Agree	NA/ND	Agree	Agree
Michigan	1	80	1	0	2	5	Strong R	1	4	4	7	Strongly Agree	Disagree	NA/ND	Strongly Disagree
Ohio	1	71	1	0	5	4	Strong R	0	3	2	4	Agree	Disagree	NA/ND	Agree
Wisconsin	1	75	1	0	4	5	Ind. Lean R	1	4	6	7	NA/ND	NA/ND	NA/ND	NA/ND
Michigan	0	69	1	1	NA	3	Not Strong D	0	4	5	6	Strongly Agree	Strongly Agree	Strongly Disagree	NA/ND
Illinois	0	70	1	1	6	3	Strong D	0	1	NA	NA	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	0	85	1	1	8	1	Strong D	0	3	5	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Iowa	1	62	0	0	6	4	Ind. Lean R	0	3	3	5	Strongly Agree	Disagree	Strongly Disagree	Agree
Illinois	0	63	0	0	10	3	Ind. Lean D	0	1	1	2	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Pennsylvania	1	48	1	0	7	4	Not Strong R	0	3	2	5	NA/ND	Strongly Disagree	NA/ND	NA/ND
Iowa	1	56	1	0	6	4	Indep.	0	3	1	5	Disagree	Strongly Disagree	Disagree	Agree
Illinois	0	59	1	0	4	4	Strong D	0	4	2	5	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Iowa	0	65	0	0	5	3	Not Strong D	1	3	4	5	NA/ND	Agree	NA/ND	NA/ND
Ohio	0	69	0	0	6	2	Strong D	0	1	2	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Indiana	1	57	0	1	11	4	Ind. Lean R	1	4	6	7	Agree	NA/ND	Strongly Disagree	Agree
Minnesota	0	51	0	1	7	2	Strong D	0	3	1	6	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	1	57	0	1	7	5	Strong R	1	4	6	7	NA/ND	NA/ND	NA/ND	Strongly Agree
Indiana	1	65	1	0	NA	4	Indep.	0	4	5	7	Strongly Agree	Agree	Disagree	Strongly Disagree
Pennsylvania	0	44	0	0	7	3	Not Strong D	0	2	2	NA	Agree	NA/ND	Disagree	NA/ND
Illinois	0	61	1	1	11	3	Ind. Lean D	0	3	2	7	Agree	Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	0	63	1	0	4	2	Strong D	0	4	5	3	Strongly Agree	Agree	Strongly Disagree	Disagree
Ohio	0	43	1	1	6	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Disagree
Wisconsin	1	75	0	0	3	3	Indep.	0	2	2	5	Agree	Agree	Strongly Disagree	Strongly Disagree
Michigan	NA	67	0	0	NA	3	Indep.	1	4	4	7	NA	NA	NA	NA
Iowa	1	81	0	0	11	5	Strong R	0	4	5	3	Strongly Agree	Strongly Disagree	Agree	Strongly Disagree
Pennsylvania	0	62	1	0	NA	3	Strong D	0	3	1	2	NA/ND	Strongly Disagree	NA/ND	Strongly Disagree
Wisconsin	NA	64	1	0	5	3	Strong D	0	3	5	5	Strongly Agree	Disagree	Agree	Agree
Indiana	0	46	1	1	8	2	Strong D	0	3	5	6	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Illinois	1	64	1	1	6	4	Indep.	0	4	3	7	Agree	Disagree	NA/ND	Disagree
Pennsylvania	1	63	0	0	4	4	Not Strong R	0	4	2	7	NA/ND	NA/ND	Disagree	NA/ND
